company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Ripman Design AB,5590406046,2,69,Gerger; Bengt Patrik,3,15,Lexsol AB|Ripman Design AB|Bostadsrättsföreningen Kv Navaren; Industristaden AR
Kåbo Bygg & Hantverk AB,5590206628,2,30,Vahanyan; Artur,1,0,Kåbo Bygg & Hantverk AB
Tage & Söner i Varberg AB,5561582536,4,62,Andersson; Johan Fredrik,32,5,Tage & Söner Förvaltnings AB|Tage & Söner i Varberg AB|Tage & Söner Byggnads AB|Tage & Söners Industrientreprenad AB|Hylte Svets Aktiebolag|Keba Sweden AB|T&S Uthyrningsmaskiner AB|T&S Åtterås 19:126 AB|T&S Hjulet 7 AB|Tage & Söner Vagnen AB|T&S Freddy AB|T&S Ängsdal 5 AB|T & S Smeden Fastighets AB|T&S Åtterås 19:101 AB|T&S Cylindervägen 15 AB|T&S Ängsdal 6 AB|T&S Hässlehult AB|Bostads AB Nissan|T&S Eketånga AB|T&S Staffansbo AB|T & S Kungsäter AB|T&S Hyreshus AB|T & S Träslövsläge Fastigheter AB|T&S Nygård AB|T&S Storgatan AB|Filijox Design AB|T&S Hjulet 7 Holding AB|T&S Fastighetsförvaltning AB|T&S Exploateringsfastigheter AB|T&S Driftsfastigheter AB|T&S Hyreshus Holding AB|T & S Falkenbäck AB
Aranäs Projekt AB,5567191423,5,56,Pettersson; Björn Nenne,23,1,Aranäs Projekt AB|Aranäs Kolla Parkstad AB|Aranäs Onsalamotet AB|Aranäs Tölö AB|Aranäs AB|Aranäs Valand AB|Monika Mulder Design AB|Aranäs Parkering AB|Aranäs i Kungsbacka 17 AB|Kungsmässan AB|Aranäs i Kungsbacka 22 AB|Aranäs i Kungsbacka 13 AB|Aranäs i Kungsbacka 12 AB|Aranäs i Kungsbacka 18 AB|Aranäs i Kungsbacka 21 AB|Aranäs i Kungsbacka 20 AB|Aranäs i Kungsbacka 23 AB|Aranäs Förvaltning AB|Aranäs i Kungsbacka 24 AB|Aranäs i Kungsbacka 14 AB|Aranäs Varlaberg AB|Aranäs Fastigheter AB|Aranäs i Kungsbacka 15 AB
Aktiebolaget Oscar Hanson Värme - Ventilation -   Sanitet,5560415480,4,56,Hanson; Oscar Ruben,5,3,Aktiebolaget Oscar Hanson Värme - Ventilation -   Sanitet|Fastighets AB Filaren 3|Fastighets AB Filaren 5|Nosnah Invest AB|Nosnah Fastighets AB
Olof Mobjer Entreprenad Aktiebolag,5564451275,3,56,Bergendal; Lars Magnus,3,40,Olof Mobjer Entreprenad Aktiebolag|Fjällvärme i Sälen AB|G; Nilssons Last & Planering i                    Ranseröd Aktiebolag
Karlsson & Svensson Projekt AB,5565695888,3,54,Opseth; Ove Ingemar,7,23,Norco Spectra Invest AB|Karlsson & Svensson Projekt AB|Norcospectra AB|CnO Consulting AB|Elektronik Teknik Mekanik 4U Sverige AB|Fågelsundets Fiskeläge Ekonomisk förening|Karlsson & Svensson Holding AB
S-K Bygg AB,5566975271,3,61,Svensson; Per Christian,12,9,SK Bygg Förvaltning AB|S-K Bygg AB|Fölabacken Förvaltning AB|Nya Fjällalunda Gård AB|Rönnhagens Fastighets AB|Förenade fastigheter i Hjortsberg AB|Förenade Fastigheter Fredstiden AB|SK BYGG FASTIGHETER I FALKENBERG AB|Förenade Fastigheter Fredsfalken AB|Boliljan AB|Bopassaren AB|Förenade fastigheter i Falkenberg AB
Kungsbacka Byggnads AB,5565669636,6,53,Aronsson; Dan Carl-Hugo,2,5,DAN HOLDING AB|Kungsbacka Byggnads AB
Elektro-Emanuel AB,5565369138,7,49,Emanuelsson; Sven Anders,2,6,Elektro-Emanuel AB|Maria Emanuelsson AB
Aderbys Rör AB,5562729714,6,57,Molander; Sven Anders,1,5,Aderbys Rör AB
Falkenbergs Rör Aktiebolag,5560773797,3,47,Dahl; Johan Martin,3,5,Falkenbergs Rör Aktiebolag|MMJ Utvecklings AB|Intressentföreningen Reko Comfort Ek. för.
Brion Rör AB,5591065452,4,46,Karlsson; Helge Lennart,5,4,Brion Invest AB|Brion Rör AB|Brion Ventilation AB|Brion Teknik AB|Brion VS Skåne AB
Etikhus AB,5565377883,3,49,Arnesten; Anna Helena,1,1,Etikhus AB
Bygg Aktiebolag Lars Bengtsson & Son,5564567336,3,52,Eriksson; Bengt Johan Magnus,11,6,Bygg Aktiebolag Lars Bengtsson & Son|Holding AB Lars Bengtsson & son|Skummeslövs Fastighetsbolag AB|POJJEN AB|Bengtsson & Eriksson i Veinge AB|Acler Förvaltning AB|Förvaltnings AB Lars Bengtsson & son|BJM Invest AB|BJM Förvaltning AB|Acmer Förvaltning AB|Acer Förvaltning AB
Peter Bengtsson Bygg i Falkenberg AB,5568936107,4,51,Börjesson; Bo Göran,9,20,Peter Bengtsson Bygg i Falkenberg AB|Östervång Projekt AB|STS Hallen AB|Åbron Hus AB|AB Åbacken 102|Bostadsrättsföreningen Trädgårdsstaden 2 i        Trelleborg|BBLB Holding i Falkenberg AB|Bostadsrättsföreningen Trädgårdsstaden 3 i        Trelleborg|Östervång Holding AB
El Aktiebolaget Johansson och Sparf,5562186899,3,42,Ragneman; Paul Anders,4,5,Ragneman Förvaltning AB|El Aktiebolaget Johansson och Sparf|Slöinge Elektriska AB|Ragneman Fastighets AB
El Aktiebolaget Johansson och Sparf,5562186899,3,42,Florén; Kim Göran,2,5,El Aktiebolaget Johansson och Sparf|Slöinge Elektriska AB
Teodoliten Mätteknik AB,5563617280,3,44,Öryd; Lars Anders,2,0,Teodoliten Mätteknik AB|Teodoliten Förvaltning AB
