company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
M.A.F Arkitektkontor AB,5565288387,6,49,Häggmark; Bo Jan Peter,7,8,M.A.F Arkitektkontor AB|Häggmark & Häggmark AB|Folkets Energihus AB|Wine to Sweden AB|7AM Real Estate AB|Maria Häggmark AB|M.A.F Holding AB
VägSäk AB,5567418032,3,53,Ulakovic; Almir,3,1,Aktiebolaget Björn och Almir|VägSäk AB|Motor & Gas i Norr AB
Edito Bygg AB,5568635378,5,51,Ranängen; Erik Martin,5,29,Edito Bygg AB|Norrbottens Byggmästareförenings Fastighets AB|EPURA Fastigheter i Norr AB|EM Ranängen AB|EPURA Förvaltning i Norr AB
Säkerhetspartner Norden Aktiebolag,5564194057,5,45,Nyström; Leif Lennart,6,4,Säkerhetspartner Norden Aktiebolag|Qualisign AB|Lena Nyström AB|Leif Nyström AB|Gustav Nyström AB|LenPRO AB
Norrbottens Entreprenörspartner AB,5569508723,2,42,Thorn‚us; Ulf Peter,6,9,Norrbottens Entreprenörspartner AB|Mobilahus.se i Västerås AB|Personalbolaget i Kiruna AB|Peter Thorneus|Mobilahus.se i Sverige AB|Peter Thorneus Holding AB
Porjus Entreprenad Aktiebolag,5564291861,3,64,Lundqvist; Jens Olof,3,4,Porjus Entreprenad Aktiebolag|Porjus Förvaltnings Aktiebolag|Porjus Åkeri Aktiebolag
aochd Arkitektkontor AB,5567226013,4,55,Burman; Lars Anders,3,7,Glödhällan AB|aochd Arkitektkontor AB|Sytertoppen Byggkonsult AB
aochd Arkitektkontor AB,5567226013,4,55,Persson; Carl Peter Joakim,3,3,Hantverkshuset i Luleå AB|Crescenten Byggkonsult AB|aochd Arkitektkontor AB
Bottnia Kross Aktiebolag,5564636644,2,69,Lövbrand; Bror Erik,5,8,Bottnia Kross Aktiebolag|Borgafjällen Hotell & Anläggningar AB|Bottnia Mining AB|Yvonne Lövbrand Marknadskonsult AB|Borga Invest AB
Norrbottens Anläggning och Mark AB,5565632352,3,56,Hellgren; Bo Mikael,5,7,Norrbottens Anläggning och Mark AB|BAMFAST AB|Bodens Anläggnings och Markarbeten Handelsbolag|Anläggningsbyggen i Boden Aktiebolag|Gimlä i Boden AB
Lapplands Lastmaskiner i Jokkmokk Aktiebolag,5564617156,4,48,Hedlund; Helena Sofia,3,1,Hedlund Motorsport AB|Lapplands Lastmaskiner i Jokkmokk Aktiebolag|Jonnys Returtransport AB
Lås & Nyckel i Luleå AB,5565506044,2,52,Eriksson; John Pierre Matthias,10,18,Aktiebolaget Byggbeslag|Bysmeden Lås Aktiebolag|Lås och Säkerhetscenter i Uppsala AB|Lås o Nycklar i Linköping Aktiebolag|Lås & Nyckel i Luleå AB|Låskedjan i Umeå AB|Halmstad Låsservice Aktiebolag|Östersunds Låstjänst Aktiebolag|AB Byggbeslag Lås & Säkerhet|Melida AB
Sanfridssons Måleri Aktiebolag,5562745272,4,59,Sanfridsson; Lars Pär-Reidar,6,9,Sanfridssons Måleri Aktiebolag|Tekniska Golv i Norrbotten AB|PLS Fastighets AB|Polar Fastighets AB|Depån 1 i Kiruna AB|Sanfridssons Förvaltnings Aktiebolag
Piteå Maskinarbeten AB,5568003304,2,61,Nilsson; Johnie Sune Mikael,3,1,Piteå Maskinarbeten AB|Bottenvikens Kross AB|Nilsson Invest i Piteå AB
BPL Sverige AB,5569766818,4,59,Öhman; Lars Göran,3,0,BPL Norr AB|BPL Sverige AB|Projekt- och Byggledning i Sverige PBL AB
Rör City i Luleå Aktiebolag,5563155588,3,57,Olsson; Nils Sune,1,4,Rör City i Luleå Aktiebolag
Svenska Norrbygg AB,5562804962,3,42,Skagervik; Lars Stefan,4,5,Svenska Norrbygg AB|Svenska Norrbygg Fastigheter AB|Svenska Norrbygg Resurs AB|S1 Malmesliden AB
JE Scandinavia Electro AB,5591950158,4,30,Eriksson; Jim Christer,4,2,JE Scandinavia Electro AB|Scandinavia Events i Piteå Ekonomisk förening|Scandinavia Electro Holding AB|JM Scandinavia Consult AB
Taktjänst i Norr AB,5567127328,4,56,Cortinovis; Fredrik Giovanni,1,1,Taktjänst i Norr AB
Bromab Invest AB,5567439327,2,40,Broström; Hans Markus,3,6,Bromab Invest AB|Bromab Consulting AB|Munthers Specialtransporter AB
Norr entreprenörer AB,5569629677,2,33,Abdalrahman; Diaeddin,2,5,Svepal Bygg & Fastighet AB|Norr entreprenörer AB
Geosystems Scandinavia AB,5590709324,4,43,Kvapilik; Radim,1,1,Geosystems Scandinavia AB
Kiruna Målbygg AB,5566106489,3,41,Gustavsson; Kent Tomas,3,0,Kiruna Målbygg Förvaltning AB|Kiruna Målbygg Fastigheter AB|Kiruna Målbygg AB
Norrbottens Larmkonsult AB,5566277090,2,52,Falk; Jan Patrik,5,3,Norrbottens Larmkonsult AB|Patrik Falk Fastigheter Kommanditbolag|Falks fastighet i Boden AB|Patrik Falk Förvaltning AB|NBL Förvaltning i Boden AB
KP Electro Installation AB,5591659130,3,48,Asterlund; Kent Christer,2,0,KP Electro Förvaltning AB|KP Electro Installation AB
KP Electro Installation AB,5591659130,3,48,Stålnacke; Leif Patrik,2,0,KP Electro Förvaltning AB|KP Electro Installation AB
Liikamaa Bygg AB,5568257082,2,49,Liikamaa; Hans Niklas,1,0,Liikamaa Bygg AB
Lillpite Rör AB,5568435514,3,46,Wallstål; Per Helge Mikael,3,6,LPR Invest AB|Lillpitebolaget AB|Lillpite Rör AB
Lindströms Plåtslageri i Gällivare Aktiebolag,5562899020,3,43,Lindström; Carl Johan,4,5,Lindströms Plåtslageri i Gällivare Aktiebolag|Reparation & Pump i Malmfälten AB|LP Fastighet & Förvaltning Gällivare AB|Malmfältens Isolerteknik AB
Elkoll i Pajala AB,5591702237,3,35,Skogqvist; Alf Johannes,7,3,Elkoll i Kiruna AB|Elkoll i Pajala AB|Tornedalens Fastigheter AB|El & Maskin i Kiruna AB|Elkoll i Luleå AB|GreenWhite Luossavaara Ekonomisk förening|Elkoll i Gällivare AB
EPN Solutions AB,5567406342,3,59,Öman; Kent Matias,4,3,EPN Solutions AB|Haraholmens Industrimekaniska AB|EPN Deicing AB|Bostadsrättsföreningen Laxnäs nr 3
Convitro AB,5568700008,6,48,Kling; Per Fredrik Emil,3,3,Convitro Holding AB|Convitro AB|VTV konsult AB
Norrbottens Byggprojektering AB,5566979455,4,52,Rova; Björn Sture,2,2,NBP Äger AB|Norrbottens Byggprojektering AB
Svenska Marinvaror i Luleå AB,5569557308,3,47,Hagman; Kenneth Lars-Göran,5,6,Svenska Marinvaror i Luleå AB|Svensk Vattenanalys AB|Svenska Brunnslock AB|Aktiebolaget Fagerkull Affärskonsult|Hagman Invest Luleå AB
BPL Norr AB,5590514351,3,56,Thun; Nicklas Fredrik,2,0,Frösöiten AB|BPL Norr AB
Attentive Elteknik AB,5591532980,3,36,Ridhult; Fredrik Daniel,1,0,Attentive Elteknik AB
S-pipe Sverige AB,5567271944,2,50,Forss‚n Löfgren; Eva Jessica,4,6,S-pipe Sverige AB|S-pipe Öst AB|HR-Kompassen Norrbotten AB|Luleå Spårprofil Aktiebolag
HFCB Fastigheter AB,5566865720,3,60,Bjuhr; Jim Göran Christer,1,0,HFCB Fastigheter AB
Älvsby Elektriska Aktiebolag,5562491786,3,51,Karlsson; Karl Mikael,1,1,Älvsby Elektriska Aktiebolag
Pitedalens Måleri AB,5564021482,2,41,Karlsson; Per Ambjörn,6,7,Måleriföretagen i Sveriges Serviceaktiebolag.|Pitedalens Måleri AB|Procidens AB|Måleriföretagens Serviceaktiebolag i Norr|Procidens Golv AB|Procidens Måleri AB
Itasca Consultants AB,5568370612,4,57,Sjöberg; Nils Jonny,1,0,Itasca Consultants AB
BYGGSTROY AB,5591245286,3,38,Gräsvik; Zorab,3,0,X-Guard Sweden AB|BYGGSTROY AB|GSPRO AB
BYGGSTROY AB,5591245286,3,38,Spiridonov; Dmitry,3,1,X-Guard Sweden AB|GSPRO AB|BYGGSTROY AB
TTV Värmeteknik Aktiebolag,5564897303,2,53,Lundmark; Maria Kristina Heléne,4,7,MDH Bygg Aktiebolag|TTV Värmeteknik Aktiebolag|Polarhus AB|Consa AB
Fire Safety Nordic Luleå AB,5590349501,4,41,Haara; Erik Magnus,6,0,Fire Safety Nordic Luleå AB|Fire Safety Nordic Skellefteå AB|Fire Safety Nordic Östersund AB|Retexendo Holding AB|Fire Safety Nordic Dalarna AB|O.W.L Förvaltning AB
Fire Safety Nordic Luleå AB,5590349501,4,41,Olofsson; Curt Tobias,7,4,Fire Safety Nordic Luleå AB|Firec AB|Fire Safety Nordic Östersund AB|Fire Safety Nordic Skellefteå AB|Fire Safety Nordic Utbildningar AB|Fire Safety Nordic Dalarna AB|Retexendo Holding AB
MultCon Multi Consulting AB,5569307480,3,35,Näselius; Jonas Kjell Olof,8,3,MultCon Multi Consulting AB|Eco Care North AB|Eco Care North Fastigheter AB|MultEstate AB|Noletel AB|Hemifjäll AB|Gondolbyn E AB|LivoviL AB
MultCon Multi Consulting AB,5569307480,3,35,Näselius; Jenny Sandra Ida-Linn,7,1,MultCon Multi Consulting AB|Eco Care North AB|EDEK Edeforsbygdens ekonomiska förening|Eco Care North Fastigheter AB|MultEstate AB|Noletel AB|LivoviL AB
Markbyggnad Toivanen AB,5569479339,3,46,Toivanen; Ari,1,5,Markbyggnad Toivanen AB
Tekniska Tak i Luleå AB,5565358735,3,41,Johansson; Rolf Sonny,3,1,JoMaRo Holding AB|Tekniska Fastighets i Luleå AB|Tekniska Tak i Luleå AB
PFK Spår i Kiruna Aktiebolag,5566576863,2,41,Flygare; Jan Peter,3,1,Svensk Industri & Infra partner Consulting AB|PFK Spår Konsult AB|PFK Spår i Kiruna Aktiebolag
Sunt Boende i Sverige AB,5590844915,6,61,Marklund; Curt Ove,5,282,Öjebyns Glas & Aluminium AB|Sunt Boende i Sverige AB|CEMEKON AB|Cemekon Förvaltning AB|Bostadsrättsföreningen Skogsstjärnan i Vega
Lapplands Eltjänst Aktiebolag,5565721544,2,54,Sundberg; Leif Tony,8,19,Lapplands Elnät i Jokkmokk AB|Lapplands Eltjänst Aktiebolag|KSV Kraft AB|Kvikkjokk Stugor AB|DatacenterSwitch Sweden AB|Lapplands Kraft AB|Lapplands Energi AB|Datacenter i Jokkmokk Projekt 1 AB
NTM Entreprenad AB,5568888373,3,43,Lundberg; Lars Tommy,2,1,Lövgatans Invest AB|NTM Entreprenad AB
X-Treme i Luleå AB,5567607600,2,50,Vahlberg; Peter Jan-Olof,2,1,Bäckängets Vatten Ekonomiska förening|X-Treme i Luleå AB
Lindströms Golv & Bygg i Råneå Aktiebolag,5563537306,3,65,Öquist; Anders Edvin,9,4,Lindströms Golv & Bygg i Råneå Aktiebolag|Lindström Öquist i Råneå AB|Golvprodukter i Sverige AB|Salamander i Råneå AB|Anna-Lea AB|Laluna i Råneå AB|snödören AB|Tvätt Hällan AB|Laxön Lille Grå AB
Nord Kran AB,5569259269,2,41,Olsson; Lars Petter,2,1,PetOls Holding AB|Nord Kran AB
Industrial Management Solutions Sweden AB,5590170626,5,59,Kemp‚n; Hans Anders,2,2,Teknik & Text i Luleå AB|Industrial Management Solutions Sweden AB
Skyltteknik Nordic AB,5566183421,3,59,Carlström; Anita Monika Desiré,3,3,GaBo Produktion Boden AB|R & S Nordic Aktiebolag|Skyltteknik Nordic AB
NUAB Fallskydd AB,5590614102,3,53,Degerman; Per Daniel,3,2,Nocash Holding AB|NUAB Fallskydd AB|Esaax Holding AB
Anläggningsmetodik i Luleå AB,5564082385,3,59,Eriksson; Erik Jimmy,3,1,A-metodik Infra AB|Anläggningsmetodik Sverige AB|Anläggningsmetodik i Luleå AB
Klöverträsk Byggteam Aktiebolag,5563255156,4,41,Lundberg; Nils Åke,2,0,Klöverträsk Byggteam Aktiebolag|Klöverträsk byggteam Holding AB
Tekniska Golv i Norrbotten AB,5591126437,3,50,Hjerpe; Karl Thom,3,1,Polar Fastighets AB|Tekniska Golv i Norrbotten AB|Sanfridssons Måleri Aktiebolag
Byggmästarna Lundgren Entreprenad Aktiebolag,5565333779,3,65,Lundgren; Lars Olav Ronnie,5,5,Rostaden Förvaltnings Aktiebolag|Byggmästarna Lundgren Entreprenad Aktiebolag|Volta Fastighetsinvest AB|Kiruna Golv Aktiebolag|R. Lundgrens Arkitektkontor Aktiebolag
PL Eldfast AB,5566324249,2,52,Laapotti; Pertti Antero,2,4,PL Eldfast AB|PL Eldfast
Åséns Sverige AB,5569918484,2,36,Åsén; Karl Nicklas,1,6,Åséns Sverige AB
Industri och Byggservice Sweden AB,5569763740,2,43,Vingbäck; Ingvar Dennis,1,1,Industri och Byggservice Sweden AB
Kylmontören i Piteå Aktiebolag,5564169620,3,44,Hancke; Frantz Daniel,4,0,Aktiebolaget Piteå Svets & Maskin (PSM)|Kylmontören i Piteå Aktiebolag|Elteknik i Piteå Aktiebolag|Företagsgruppen i Piteå AB
Tärendö Byggservice AB,5569289381,2,48,Lundhamn; Jan Anders,1,0,Tärendö Byggservice AB
N&S Projektledning AB,5568583545,3,53,Nilsson; Jan Olof,2,0,JN Projektledning AB|N&S Projektledning AB
N&S Projektledning AB,5568583545,3,53,Nilsson Ranta; Lars Mikael,2,0,Piteå Projektledning AB|N&S Projektledning AB
Piteå-Montage Aktiebolag,5561232454,4,64,Berglund; Lars Anders,1,0,Piteå-Montage Aktiebolag
NMH Bygg AB,5566037171,2,60,Öhman; Lars Nicklas,2,1,NMH Bygg AB|N C i A AB
LBM - Larssons Bygg & Mätservice AB,5567342463,3,45,Larsson; Johan Anders,2,2,LBM - Larssons Bygg & Mätservice AB|A.L Försäljning
CCN Entreprenad Aktiebolag,5564944345,3,47,Larsson; Alf Rickard,8,24,Räckessättarna Norr Aktiebolag|A-Trä Bygg AB|MARI Sverige AB|A-trä Försäljnings AB|CCN Entreprenad Aktiebolag|Cold-Spot Facilities AB|Arjeplogsbyrån|Stibma Vägförening Ekonomisk förening
L.E Bygg- Rep & Uthyrning AB,5564358025,2,50,Englund; Lars Olov,7,25,Norrbottens Byggmästareförenings Fastighets AB|L.E Bygg- Rep & Uthyrning AB|Englunds Bygg Västra AB|Kalix Stugan AB|Servicebolaget i Kalix Handelsbolag|Kranarmen i Sverige AB|2 x LE i Kalix AB
Stadins Glas AB,5563080679,4,58,Johansson; Per Andreas,1,1,Stadins Glas AB
Norrbottens Miljöisolering AB,5591592695,3,33,Larsson; Erik Ingemar,1,2,Norrbottens Miljöisolering AB
Malmfältens Måleri Aktiebolag,5563139103,4,52,Söderberg; Benny Niclas,5,10,Arne Lundquist Måleri Aktiebolag|Concreto Golvteknik AB|Malmfältens Måleri Aktiebolag|Måleriföretagens Serviceaktiebolag i Norr|Interpaint AB
HGS Norrbotten AB,5591646830,2,35,Näslund; Miriam Susanna,3,0,Bergnäsets Skoter & ATV AB|Lager's Maskin & Consulting Aktiebolag|HGS Norrbotten AB
Concrete Beaver AB,5569306102,2,41,Jouppi; Lucas James Heikki,1,0,Concrete Beaver AB
Edifix AB,5565713293,2,66,Hammar; Johan Ove,10,6,Tornedalshus Aktiebolag|Edifix AB|Kraftledning AB|Flexrent AB|Tomas Lindsbro Consulting AB|Hedenhös AB|nViron Energy & Technology AB|Bygg & Kraftledning i Stockholm AB|HAJONI Fastigheter i Boden AB|Anton Karlsson Rent AB
Rensman Norr AB,5569165300,2,54,Viklund; Karl Fredrik,2,6,Marant Nord AB|Rensman Norr AB
Nordmark & Nordmark arkitekter AB,5568282643,4,40,Olofsson Nordmark; Maria Josefina,2,3,Nordmark & Nordmark arkitekter AB|Eljest AB
Carlzons i Älvsbyn AB,5568641061,3,56,Carlzon; Carl Gösta,1,0,Carlzons i Älvsbyn AB
Soldalen Elnät Service AB,5568088958,3,46,Dahlström; Karl Niklas,1,0,Soldalen Elnät Service AB
Brännströms Industriteknik AB,5568004336,3,39,Lindgren; Rolf Robin,2,3,Brännströms Förvaltning i Norr AB|Brännströms Industriteknik AB
Aquae i Norr AB,5591754931,2,40,Baudin; Henrik Andreas,3,2,Aquae i Norr AB|AnBa AB|AnBa Försäljning
Elteknik i Piteå Aktiebolag,5565849360,3,44,Hancke; Frantz Daniel,4,0,Aktiebolaget Piteå Svets & Maskin (PSM)|Kylmontören i Piteå Aktiebolag|Elteknik i Piteå Aktiebolag|Företagsgruppen i Piteå AB
bredåker entrepenad AB,5590634837,2,39,Johansson; Stig Henrik,3,0,Bränslans Invest Aktiebolag|bredåker entrepenad AB|Bredåker entreprenad
Gällivare Eltjänst AB,5591112429,2,49,Karlsson; Svante Simon,2,1,Gällivare Eltjänst AB|Firma Simon Svante Karlsson
TR Maskin AB,5563564821,2,55,Rönnberg; Karl Tomas,3,1,TR Maskin AB|Vakttjänst Nord AB|TR Maskin Invest
Selbergs Bygg AB,5564486289,2,59,Långström; Olof Rickard,3,0,Selbergs Bygg AB|Enigma Kommanditbolag|Jokkmokks Lastbilcentral AB
Berglunds Elektriska i Svartbyn AB,5568967771,3,58,Berglund; Mats Jonas,1,0,Berglunds Elektriska i Svartbyn AB
AB Rörman; Kalix,5569314411,2,50,Hjelm; Per Ragnar,1,1,AB Rörman; Kalix
GMT Granis marktjänst AB,5590590203,2,28,Granström; Jan Erik Tobias,2,1,GMT Granis marktjänst AB|LÅ mark
Piteå Teknik & Entreprenad Aktiebolag,5567965479,2,52,Lundström; John Peter,1,3,Piteå Teknik & Entreprenad Aktiebolag
Din Kran AB,5590747241,5,42,Tjernlund; Jan Jonas,3,2,Tjero AB|Din Kran AB|Tapparen AB
Cederlunds Byggservice Aktiebolag,5563273902,2,63,Cederlund; Per Anders,1,0,Cederlunds Byggservice Aktiebolag
Persöfrakt Aktiebolag,5563176568,4,55,Johansson; Barbro Ann-Christin,2,3,Grus & Miljöteknik i Luleå AB|Persöfrakt Aktiebolag
Persöfrakt Aktiebolag,5563176568,4,55,Johansson; Åke Emil,2,3,Grus & Miljöteknik i Luleå AB|Persöfrakt Aktiebolag
Luleå Design & Specialsnickerier AB,5568298565,2,52,Andersson; Håkan Peter,2,1,Luleå Design & Specialsnickerier AB|Peters Form & Design
Luleå Design & Specialsnickerier AB,5568298565,2,52,Sundström; Jeanett Anna-Maria,1,1,Luleå Design & Specialsnickerier AB
N. Källhammer Entreprenad AB,5569483075,2,49,Källhammer; Bo Niclas,3,0,Sunderbyns Potatis AB|N. Källhammer Entreprenad AB|Wikströms Potatis AB
Ramnelius Elektriska Aktiebolag,5561783191,3,60,Ramnelius; Björn Åke Bertil,3,1,Fastighetsbolaget Br Ramnelius AB|Fastighetsbolaget Kvarteret Kabeln 5 AB|Ramnelius Elektriska Aktiebolag
HRG:S Ingenjörsbyrå Aktiebolag; Göran Burvall,5561074849,4,66,Burvall; Ann Helen‚,2,4,Bostadsrättsförening Allén i Luleå|HRG:S Ingenjörsbyrå Aktiebolag; Göran Burvall
TS Fogfria Golv och Måleri AB,5565905345,2,50,Svensson; Thomas Krister,1,2,TS Fogfria Golv och Måleri AB
J Wäyrynen AB,5590156880,2,46,Väyrynen; Jan Joakim,3,1,RN Investment AB|J Wäyrynen AB|J.Väyrynen
VVS & Rör Luleå AB,5569818346,2,56,Harila; Yngve Niklas,1,0,VVS & Rör Luleå AB
Värmepumpar i Norr AB,5568572175,4,45,Jonsson; Kent Inge Edvard,2,3,Värmepumpar i Norr AB|Woman Design i Gammelstad AB
Heedmark AB,5567386841,2,47,Kangas; Per Thomas Daniel,1,6,Heedmark AB
Glasmästeriet Blyglasdesign Luleå AB,5568886633,2,63,Åström; Nils Göran,1,4,Glasmästeriet Blyglasdesign Luleå AB
Fönster i Norr AB,5562784800,2,37,Kero; Örjan Daniel,1,1,Fönster i Norr AB
Alltjänst i Gammelstad AB,5569172389,3,56,Sjömark; Per-Olof,3,1,AIGAB Entreprenad i Gammelstad AB|Alltjänst i Gammelstad AB|Alltjänst i Gammelstad Handelsbolag
Alltjänst i Gammelstad AB,5569172389,3,56,Sjömark; Per Linus,5,2,Alltjänst i Gammelstad AB|AIGAB Entreprenad i Gammelstad AB|Broomés Maskin & Transport AB|Stjärnskytten's Hundtjänster AB|Alltjänst i Gammelstad Handelsbolag
J. Pounu elinstallationer AB,5569706830,2,31,Pounu; Jonas Erik,1,1,J. Pounu elinstallationer AB
GIRON BYGG AB,5591609721,2,48,Niskakoski; Jori Markus Uolevi,1,1,GIRON BYGG AB
Plan- och bygglaget i norr AB,5591079297,3,31,Linder; Viktor Johannes,3,1,kWatt AB|Plan- och bygglaget i norr AB|Kiruna Håltagning AB
Scandinavian Rail Service Sweden AB,5591824312,3,36,Thomelius; Ernst Mats Carl Adam,5,0,Norrlands Industri & Konsult AB|Scandinavian Rail Service Sweden AB|MECAT AB|3 Concrete Demolition AB|MATH Industries AB
Älvsby Traktor Aktiebolag,5564766748,2,78,Öman; Bo Anders,3,1,Älvsby Traktor Aktiebolag|PORTAB Aktiebolag|Älvsby Traktortjänst
M&A Service AB,5591485734,4,31,Pounu; Anton Matias,1,3,M&A Service AB
M&A Service AB,5591485734,4,31,Pounu; Antti Sakarias,1,2,M&A Service AB
H Strömbergs Bygg Aktiebolag,5564062536,2,56,Strömberg; Hans Ivan,1,3,H Strömbergs Bygg Aktiebolag
Sigv. Lundqvists El Aktiebolag,5562306968,2,70,Pohjanen; Leif Ingemar,1,2,Sigv. Lundqvists El Aktiebolag
Nordells Städ AB,5591654677,3,51,Nilsson; Lars Krister,1,1,Nordells Städ AB
Elektrikergruppen I Norr AB,5590755871,3,46,Niemi; Bo Roger Lennart,1,0,Elektrikergruppen I Norr AB
Elektrikergruppen I Norr AB,5590755871,3,46,Säfström; Erik Dennis,1,0,Elektrikergruppen I Norr AB
Biovärme Service & Underhåll Sverige AB,5569643314,3,43,Engman; Nils Daniel,3,1,Biovärme i Sverige AB|Biovärme Service & Underhåll Sverige AB|Bioptima AB
Littak Consult AB,5591004154,6,45,Ömalm; Pär Henrik,2,5,Littak Consult AB|HELP i Gällivare AB
Markresurser i Kiruna AB,5590492533,2,31,Fjellborg; Sten Tony,2,0,Markresurser i Kiruna AB|Thornéus Renprodukter Aktiebolag
Jan Pettersson Consulting i Luleå AB,5565934592,2,47,Pettersson; Jan Evert,2,6,T-STORE AB|Jan Pettersson Consulting i Luleå AB
FR Konsult AB,5591256911,2,34,Rahkola; Lars Fredrik,1,0,FR Konsult AB
RaSK Teknik i Norr AB,5591478622,2,55,Skoog; Rolf Arne,5,7,P.Å. Hellströms Bygg Aktiebolag|ANdreas SAmuel BYGG AB|E-FYREN Aktiebolag|Riksorganisationen Sveriges MotorCyklister AB|RaSK Teknik i Norr AB
Svensk Mark & Schakt AB,5568520711,2,63,Aili; Torsten Mattias,3,5,Svensk Mark & Schakt AB|Tornedalens Fastigheter AB|Maili Skog AB
S-pipe AB,5592057425,2,50,Löfgren; Lars Thomas,6,19,Hydraulikmontage i Luleå AB|S-pipe Sverige AB|S-pipe AB|S-pipe Öst AB|HR-Kompassen Norrbotten AB|Luleå Spårprofil Aktiebolag
Tre Part Hus & Bygg produktion AB,5566755558,2,57,Olsson; Ulf Peter,3,2,Nordisk Energi Service AB|Tre Part Hus & Bygg produktion AB|Zentrus AB
Pro Development i Sverige AB,5566329545,3,57,Lagerqvist; Lars Ove,2,4,Pro Development i Sverige AB|lagerqvist evolution AB
RR BYGG i Arjeplog AB,5590702709,2,47,Lundström; Jarl Rikard,1,0,RR BYGG i Arjeplog AB
Jens Granströms El o Entreprenad AB,5569024291,4,39,Granström; Jens Christian,1,0,Jens Granströms El o Entreprenad AB
Olive Sverige AB,5568365133,2,54,Blombacke; Hans Sven-Åke,1,0,Olive Sverige AB
SIGMAR Metod & Innovation AB,5591015911,6,38,Ljungström; Eva Marina,2,4,SIGMAR Metod & Innovation AB|Xpertmåleri i norr AB
Samuel W byggtjänst AB,5591730105,2,43,Westergaard; Nils Samuel,1,0,Samuel W byggtjänst AB
Samuel W byggtjänst AB,5591730105,2,43,Westergaard; Jennie Maria Elisabeth,1,0,Samuel W byggtjänst AB
Lundqvist Exploatering AB,5591158802,5,32,Persson; Jim Micky,1,1,Lundqvist Exploatering AB
PowerDoc Maschinery AB,5590995162,2,57,Ågren; Kurt Daniel,1,0,PowerDoc Maschinery AB
Jaktvikens Byggtjänst AB,5590933106,2,40,Kandel; Per Johan,1,1,Jaktvikens Byggtjänst AB
Vinter Energi AB,5568317845,2,48,Ljunghe; Tony,1,3,Vinter Energi AB
Aulis konsult & utveckling AB,5590662499,2,50,Lindmark; Maria Camilla,10,10,Nova Industri AB|Nature Cosmetic Group of Swedish Lapland AB|Nova Industri Service AB|Aulis konsult & utveckling AB|Aulis i Norr AB|Aulis Polstjärnan AB|Bostadsrättsföreningen Nanna|Bostadsrättsföreningen Lillasyster|Projektholding i Norr AB|Aulis Projekt Boden AB
Veräjä Måleri AB,5568084775,3,42,Veräjä; Leif Benny,1,0,Veräjä Måleri AB
DW el AB,5567337273,2,54,Douhan; Bror Tomas,1,0,DW el AB
El- & Styrsystem i Arjeplog AB,5567658611,2,68,Westerlund; Frans Olov,3,1,El & Styr FS AB|El- & Styrsystem i Arjeplog AB|El & Styrsystem i Arvidsjaur
Bottnia Rör AB,5568445471,3,37,Lahti; Ola Roland,1,0,Bottnia Rör AB
Golv & Bad i Norr AB,5591575054,2,34,Blombacke; Sven Jonas,1,1,Golv & Bad i Norr AB
Olov Granberg AB,5569694549,3,34,Granberg; Olov Erland,1,2,Olov Granberg AB
