company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Safe Drain Technologies Sweden AB,5568414378,4,56,Uhlin; Lars-Olof,2,1,Safe Drain Technologies Sweden AB|Run Event AB
Södra Västerbotten Bygg Aktiebolag,5564716818,2,71,Sandström; Lars Arne,2,2,Fastighetsaktiebolaget Döbeln|Södra Västerbotten Bygg Aktiebolag
Västerbottens bygg och byggledning AB,5590301858,2,30,Hillerström; Viktoria Elin Maria,2,6,Evald M Holding AB|Västerbottens bygg och byggledning AB
Västerbottens bygg och byggledning AB,5590301858,2,30,Hillerström; Lars Ragnar Johannes,1,1,Västerbottens bygg och byggledning AB
Handcrafted MÅLERIET Skellefteå AB,5590487376,2,48,Berglund; Stina Maria,3,3,Handcrafted MÅLERIET Skellefteå AB|Bostadsrättsföreningen Höder|Midnight Light Challenge AB
Handcrafted MÅLERIET Skellefteå AB,5590487376,2,48,Berglund; Per Andreas,1,2,Handcrafted MÅLERIET Skellefteå AB
K LINDGREN INGENJÖRSBYRÅ Aktiebolag,5564330487,2,66,Lindgren; Tord Kennet,1,3,K LINDGREN INGENJÖRSBYRÅ Aktiebolag
Innerviks Konsult AB,5564548443,2,76,Lundmark; Karin Margareta,1,17,Innerviks Konsult AB
Flora-L Design AB,5592286347,5,46,Lundberg-Felten; Judith Annegret,1,1,Flora-L Design AB
Tobé arkitektkontor Aktiebolag,5562961341,2,85,Tobé; Per Erik,1,0,Tobé arkitektkontor Aktiebolag
Upplands Plåtslageri AB,5568174501,2,63,Kinnunen; Juha Erik,1,1,Upplands Plåtslageri AB
Tommy Schönfeldt Markteknik AB,5563284818,2,71,Schönfeldt; Tommy Nils Erik,2,1,NJWS STUDIO AB|Tommy Schönfeldt Markteknik AB
Bubble Cherry Creations AB,5568282031,2,53,Holmberg; Bo Nils-Örjan,1,1,Bubble Cherry Creations AB
