company_no,company_name
5590636709,Aspectus Invest AB
5562310747,Jan Lindbom Bygg Aktiebolag
5591449581,JCS Bygg AB
5590417100,Goba Bygg AB
5591534093,Södra Norrland Bygg & Entreprenad AB
5562764745,R. Björklunds El & Industrimontage Aktiebolag
5591305304,Mets Montage AB
5569167074,Granlo Måleri AB
5568654841,Selins Entreprenad i Gnarp AB
5590946793,Larssons Spårservice AB
5568334261,Kovlands Hiss & Portautomatik AB
5568801012,Hernö Måleri Aktiebolag
5590952189,Fnec Trading AB
5592004484,JS Drilling Solutions AB
5564489051,Lars Sundbergs Service AB
5590382700,HS El & Säkerhet AB
5566980677,DBC Entreprenad AB
5590172317,Rehn VVS & montage i Timrå AB
5590434378,ML Bygg & Fastighetsservice AB
5568874340,Pär Gräv & Bygg i Örnsköldsvik AB
5569989766,Alnö Vvs AB
5567120240,Sorunda Isol & VVS Entreprenad AB
5569048977,Stål & Fasad i Norrland AB
5568572761,Dick Strömberg Gräv AB
5567352421,Romlands El & VVS AB
5591136782,Ringströms Bygg & Emballage AB
5567835243,Gisslins Mark och Gräv AB
5568124969,JN's Vatten & Värme AB
5569927873,Rafstedt Rör AB
5568103732,Tak & Fasad i Sundsvall AB
5590752985,Winsa Måleri AB
5569037459,BRICK Since 2012 SWEDEN AB
5590277330,Stattins Hyveltjänst AB
5568663099,BHT Stål & Montage AB
5591759617,Projektmontage i Sverige AB
5568908965,Bygg & Anläggnings Projekt in Sweden AB
5568298722,RicTo Zon & Effekttorkning AB
5569698532,UMR Byggnads AB
5568610470,NHB ELEKTRISKA AB
5566770672,Vaples Entreprenad & Fastighets AB
5568231996,Reglerovent i Härnösand AB
5562826452,PLB Projektledning Bygg Aktiebolag
5590126792,Sundsvalls Rörteam AB
5562881226,L.J. Byggservice i Sundsvall Aktiebolag
5568788649,HBQ Förvaltning AB
5591824098,NS Bygg & Entreprenad i Sundsvall AB
5591666473,Solkusten Montage i Söråker AB
5590915293,LGW Mur & Kakel AB
5590636378,E Bygg i Örnsköldsvik AB
5591824924,Krister Gisslin Fastighetsservice AB
5568061948,Veckestrands El AB
5566758933,H. Strömqvist Bygg AB
5567671556,Cretex Bygg AB
5561143149,Elektro Övik Aktiebolag
5565637229,Magnus Sehlins Elektriska AB
5564498417,Kallins Gräv och Traktor Aktiebolag
5568213218,Entreprenad Matjord Uthyrning Ö-vik AB
5560844861,Matfors Installationsbyrå Aktiebolag
5566997135,Snickarna Torpshammar AB
5562356476,Nilsson Elektriska i Ullånger Aktiebolag
5568756513,Metallkraft karosseri o svets AB
5591288575,Imnäs elektriska AB
5565795803,S.O. Fritid & Bygg AB
5590419619,Byggmästarna i Sundsvall AB
5568261746,Forsgrens Bygg & Inredning AB
5561420992,Mikael Edströms Åkeri AB
5590494372,HM Allbygg AB
5567722573,PEGA GLAS AB
5565010054,Ventexpert i Örnsköldsvik Aktiebolag
5590493366,Patrik Murarn AB
5566782578,Starco Västernorrland AB
5561517490,G & B Öhléns Aktiebolag
5568682081,Reine Sundqvist maskin AB
5590898838,D Nordin Entreprenad AB
5567132195,Jan Mobergs Maskintjänst AB
5591711915,MittSverige EL och Kraft AB
5565794855,Protech Casing AB
5569247942,Ulf Svensson Bygg AB
5567222053,Agenda Golv och Entreprenad AB
5590603022,Joakim Ytterbom Bygg och Anläggning AB
5569972580,THR Installation AB
5591433023,EMF Bygg AB
5591669014,Sjödin Bygg AB
5561407379,Engströms Rör Aktiebolag
5566199484,Bert Perssons Elmontage AB
5590440417,Åsander Bygg AB
5567226468,Bengt Olssons Grävmaskiner AB
5568663081,H Kan Bygg Aktiebolag
5591564637,Rentalux Bygg & Städ AB
5565838843,Sjöléns El & Larm AB
5567571988,Utemiljögruppen i Sundsvall AB
5569018996,Ullmarks Ställningsmontage & Transport AB
5567017172,Lindbergs Sprängtjänst & Pyroteknik Aktiebolag
5590442256,JN Otterberget AB
5591210835,Sundsvalls Byggbyrå AB
5591274278,Sjöbergs Montage Sundsvall AB
5590392485,Grön form Sundsvall AB
5567236285,Lucksta Fastigheter AB
5591604706,TUBULUS VVS AB
5568643430,Måleritjänst i Sundsvall AB
5590123237,ML Elmontage Sundsvall AB
5590725395,IQ Vent AB
5568470693,Krister S Rör AB
5591589113,Dahlins Bygg Höga Kusten AB
5567530448,Ni Ke Golv AB
5569651283,Nätrahusen AB
5568994494,VPM ENERGI AB
5565348132,Ivar Lindströms Plåt Eftr Aktiebolag
5590212857,Fränsta Byggservice AB
5567514160,Jocke Westling Åkeri AB
5591637847,Anderstam hus AB
5590096318,Badrummera AB
5563579670,Erikssons Dykeri Aktiebolag
5591452353,DTC Sundsvall AB
5590163431,R. Bredberg Bygg & Montage AB
5591008908,Härnösands Glas-Service AB
5564264876,Lavér Företagstjänster AB
5590481320,Jonssons Industri & Bygg Entreprenad AB
5567610182,Morgan Eriksson Entreprenad AB
5591241129,Mats Strands Måleri AB
5564925427,Thomas Sjölund Bygg & Finsnickeri Aktiebolag
5569192833,Rörmokarn Staffan Svensson AB
5569780769,Ställningsgruppen Norrland AB
5590864046,Sundsvalls montage och belysning AB
5566823968,Öviks Eltjänst AB
5563205615,Westerlunds Måleri Aktiebolag
5569283467,MD Projekt AB
5569937310,Sjögrens Entreprenad AB
5591687040,Team Eriksson Transport&Entreprenad AB
5569658999,Golvservice Sollefteå AB
5569184608,Wiséns Snickeri Service AB
5591120422,Anundsjö Järnvägsteknik AB
5568480163,F Persson Entreprenad Kornsjö AB
5562933514,Nymans Måleri i Kvissleby AB
5564185493,Jonas Jonsson Markplanering Aktiebolag
5566103999,Metallkonstnären i Sverige AB
5590291224,BIDECON AB
5591009591,Olofssons Bygg Ramsås AB
5569297038,Sundsvalls Plattsättning AB
5590315742,Ilesjö Installationsservice AB
5561017608,AB Nordingrå El
5590134481,Peter Andreassons Måleri AB
5568192719,KT Golv & Reparation AB
5568810062,Rikard Bergmans entreprenad AB
5566901863,KMU Kalles Maskinuthyrning AB
