company_no,company_name
5591462097,AGN Haga AB
5562739762,Harrysson Entreprenad Aktiebolag (HEAB)
5565830634,Sandbäckens Rör i Norrköping AB
5568517121,Peab Industribyggnad i Norr AB
5568339724,Carlbergs Holding AB
5566912068,Totalprojekt i Mälardalen AB
5565009072,Carlbergs i Göteborg AB
5590878376,PMC Holding AB
5566138664,R Rydbergs Bygg AB
5564689643,Metodgolv i Stockholm AB
5569102428,Göteborg Mark och Betong Entreprenad AB
5560906272,Drillcon Scandinavia Aktiebolag
5560971110,Bergendahls El Projekt AB
5564569720,AB Ekbladhs Måleri
5568413487,Melander Bygg AB
5563002210,Elms Byggnadsfirma Aktiebolag
5569031957,Richard Pihl AB
5561768200,AB Härnösands Schakt & Trädgårdsanläggningar
5562838564,LINK Arkitektur AB
5560766403,Asfaltsgruppen Öst AB
5569063869,JR Markteknik AB
5592128176,Winthrop Engineering and Contracting AB
5566507496,Pålaktiebolaget Svenska
5590787213,Byggteknik i Katrineholm Entreprenad AB
5560834375,Aktiebolaget Gilbert Gustafssons Entreprenadfirma
5568582851,ORAB Entreprenad AB
5560459231,Järntorget Bygg AB
5567777890,Elektro-Centralen Entreprenad Hisings Backa AB
5566495742,NOKON Byggnads AB
5565829784,Pierre Entreprenad i Gävle AB
5567170963,Ellipsen Bygg AB
5567170427,Brantås Bygg AB
5567310866,Vattenfall Vindkraft Aktiebolag
5566599428,Plåtpartnergruppen Sverige AB
5567340285,Holsby Holding AB
5563149102,Midroc Project Management AB
5569783565,Installationsbolaget Solna AB
5566823505,Torpheimer System AB
5561436741,Byggnadsfirma G. Insulander Aktiebolag
5563920817,SBG Byggen Aktiebolag
