company,id,status,actual_status,remark,default_date
Snickoteket AB,5590534748,aktivt,aktivt,,
DH DESIGN i Jönköping AB,5562526151,aktivt,aktivt,,
Emmeli Ahlander Design Studio AB,5590722616,aktivt,aktivt,,
Erling Lind Byggdesign AB,5568333776,aktivt,aktivt,,
Börjessons El i Aneby Aktiebolag,5562950138,aktivt,aktivt,,
Hagalunds Byggservice i Nässjö AB,5566485180,aktivt,aktivt,,
Magnus J. Måleri i Tranås AB,5567119119,aktivt,aktivt,,
Magnussons Måleri i Jönköping AB,5590503917,aktivt,aktivt,,
Fiberexperten i Småland AB,5591819734,aktivt,aktivt,,
Brobakken Teknik Aktiebolag,5568717119,aktivt,aktivt,,
Peter STHLM AB,5568555857,aktivt,aktivt,,
STAX Kyl & Värmeteknik AB,5591659486,aktivt,aktivt,,
ACA projekt AB,5591065338,aktivt,aktivt,,
Claessons Sliperi AB,5564154168,aktivt,aktivt,,
Korsberga Träkonstruktioner AB,5590703137,aktivt,aktivt,,
Mäklin Gränna AB,5569311839,aktivt,aktivt,,
JBE Byggservice AB,5569647232,aktivt,aktivt,,
Dickmans Fastighets AB,5569748337,aktivt,aktivt,,
Kinnab AB,5569245060,aktivt,aktivt,,
Miljö & Säkerhetsgruppen i Nässjö AB,5590886445,aktivt,aktivt,,
Svensk Asfalt & Mark AB,5590475660,aktivt,aktivt,,
DASAB i Rydsnäs Aktiebolag,5562652841,aktivt,aktivt,,
Projekt & Reparation i Bankeryd AB,5567686604,aktivt,aktivt,,
J. Lifström AB,5568284557,aktivt,aktivt,,
Sololight Design AB,5566288394,aktivt,aktivt,,
Östbo Byggservice Aktiebolag,5566777016,aktivt,aktivt,,
Karl-Gustavs Rördrivning AB,5567275390,aktivt,aktivt,,
Höglandets El & Larm i Vetlanda AB,5566400866,aktivt,aktivt,,
Frickens Villa & Fastighetstjänst AB,5568309768,aktivt,aktivt,,
Simon Lidström firma AB,5590994728,aktivt,aktivt,,
Jonas Wallinder Möbelformgivning & Arkitektur AB,5568601917,aktivt,aktivt,,
Sverker Björklund Arkitektkontor AB,5591560882,aktivt,aktivt,,
JPJ Konsult AB,5591842595,aktivt,aktivt,,
Lundahls Gräv & Fastighetsservice AB,5568080831,aktivt,aktivt,,
Tagessons El Konsult Aktiebolag,5565039913,aktivt,aktivt,,
Lars-Gunnar Josefssons Målerifirma Aktiebolag,5564066867,aktivt,aktivt,,
Jensens Måleri i Jönköping AB,5569821183,aktivt,aktivt,,
CoolCool 50000 AB,5591147730,aktivt,aktivt,,
Jönköpings Portservice AB,5568570005,aktivt,aktivt,,
Agne Karlssons Gräv AB,5565938049,aktivt,aktivt,,
Ladulås Bygg AB,5591982755,aktivt,aktivt,,
CL Bygglädje AB,5591305213,aktivt,aktivt,,
ATTIME AB,5564624731,aktivt,aktivt,,
Slutplattan FOTIV 108975 AB,5590696562,aktivt,aktivt,,
Wetterglas AB,5590293261,aktivt,aktivt,,
MARK & LANDSKAP i Väst AB,5567038699,aktivt,aktivt,,
Overlines AB,5592057821,aktivt,aktivt,,
Byman FastighetsFörädling AB,5562469972,aktivt,aktivt,,
Formge Inredningar PGM AB,5566490198,aktivt,aktivt,,
CIMPY AB,5569327769,aktivt,aktivt,,
IT Byggtjänst AB,5564837226,aktivt,aktivt,,
Gunnar Svahn Snickeri AB,5569237539,aktivt,aktivt,,
Kalle Andersson Kakel och Fastighetsservice AB,5568978174,aktivt,aktivt,,
Burenbys Industrisnickeri Aktiebolag,5563121580,aktivt,aktivt,,
Sprängning och Brunnsborrning Aktiebolaget        Dynamitligan,5562540566,aktivt,aktivt,,
Huskomponenter i Småland Aktiebolag,5564396520,aktivt,aktivt,,
Nojd AB,5590121694,aktivt,aktivt,,
Vezzel AB,5568585441,aktivt,aktivt,,
Svensk Metallåtervinning AB,5569918922,aktivt,aktivt,,
Lacketekten AB,5592248644,aktivt,aktivt,,
Jönköpings Byggnads AB,5565704094,aktivt,aktivt,,
P-O Bonnevier Arkitektkontor AB,5567712004,aktivt,aktivt,,
Fälts Entreprenad i Aneby AB,5569972671,aktivt,aktivt,,
Råd & Försäkring i Småland AB,5566332374,aktivt,aktivt,,
Idéhus i Småland AB,5566809900,aktivt,aktivt,,
BW i Nässjö Aktiebolag,5564209780,aktivt,aktivt,,
JOHAN CERNVALL AB,5590465984,aktivt,aktivt,,
Åhults Fastighets AB,5566797840,aktivt,aktivt,,
Fredrik Hyltse Rit & Byggkonsult AB,5591895551,aktivt,aktivt,,
AB Ett Ett Elva Väg och utbildningskonsult,5590381439,aktivt,aktivt,,
Sigill Bygg AB,5590065206,aktivt,aktivt,,
FREDRIK & MAGNUS SNICKERI & LACKERING AB,5590867288,aktivt,aktivt,,
Johnny Wiléns Bygg & Fastighetsservice Aktiebolag,5565019394,aktivt,aktivt,,
B Ohlssons Allservice Kommanditbolag,9165230831,aktivt,aktivt,,
TEDOX Service & Handel Company AB,5569279986,aktivt,Registrerad,,
E.S LOTS OCH MASKINTJÄNST,9260010260,aktivt,aktivt,,
B&Z TOTAL BYGG och FASTIGHETSSERVICE Handelsbolag,9697692870,aktivt,aktivt,,
Lindhs Elektriska; Lindh o Co Handelsbolag,9164513344,aktivt,aktivt,,
Toqi Bygg Handelsbolag,9697884139,aktivt,aktivt,,
Handelsbolaget Å-N:s Bygg,9164164452,aktivt,aktivt,,
RTH:s Spåntjänst & Takvård Handelsbolag,9164178585,aktivt,aktivt,,
Handelsbolaget MB-Service,9167036707,aktivt,aktivt,,
P A T Solutions AB,5567341374,aktivt,aktivt,,
Marius Bygg Habo AB,5592064371,aktivt,aktivt,,
Ängaryds Bygg AB,5569389801,aktivt,Registrerad,,
Jungergårds trä och fönsterteknik Handelsbolag,9697209006,aktivt,aktivt,,
Miljöblästring i Norden AB,5591984371,aktivt,aktivt,,
Ulf Larsson Plåt Kommanditbolag,9167034785,aktivt,aktivt,,
Maddes Måleri AB,5592126337,aktivt,aktivt,,
Talking Music Handelsbolag,9164472673,aktivt,aktivt,,
RoFiVi AB,5568266455,aktivt,aktivt,,
C.G. Sales AB,5592138993,aktivt,aktivt,,
Inredningsmontören i Wimmerby AB,5568401813,aktivt,aktivt,,
Marktjänster i Svängen AB,5569862609,aktivt,aktivt,,
LMK Teknik & Design AB,5567627699,aktivt,aktivt,,
DMG Investment Group AB,5590930854,aktivt,aktivt,,
Byggkonstruktör Håkan Andersson i Jönköping AB,5566616776,aktivt,aktivt,,
C Dolks Plåtslageri Aktiebolag,5563679769,aktivt,aktivt,,
Lindberg Gärde AB,5591875108,aktivt,aktivt,,
A Malmquist Bygg i Habo Aktiebolag,5564260692,aktivt,aktivt,,
Dambergs Lyft AB,5568902778,aktivt,aktivt,,
Ibar Design Aktiebolag,5561562769,aktivt,aktivt,,
0. Stolpe Bygg & Inredning AB,5569252173,aktivt,aktivt,,
Leif Palm Service AB,5590736103,aktivt,aktivt,,
Fagerhults Byggkonsult Alf Andersson Aktiebolag,5561803692,aktivt,aktivt,,
Triado AB,5590703491,aktivt,aktivt,,
Åke Holmqvist Konsult AB,5562984285,aktivt,aktivt,,
Paredo AB,5569607194,aktivt,aktivt,,
Plan & Fasad Mats Tellgren Aktiebolag,5564089455,aktivt,aktivt,,
Michael Harbrecht Byggkonsult AB,5567449623,aktivt,aktivt,,
Brangens Mark AB,5567898092,aktivt,aktivt,,
AB Jan Jungelind,5591853139,aktivt,aktivt,,
J & I El. Joelsson & Idebäck Aktiebolag,5562011337,aktivt,aktivt,,
i'am AB,5568020142,aktivt,aktivt,,
Puretec Miljö & Byggservice AB,5568137821,aktivt,aktivt,,
Rofors El Aktiebolag,5563127108,aktivt,aktivt,,
Sommens Rör Aktiebolag,5564416591,aktivt,aktivt,,
Trulog AB,5568693005,aktivt,aktivt,,
Kolaya AB,5569283004,aktivt,aktivt,,
Bygg & Handel Norrängen AB,5569799694,aktivt,aktivt,,
Forma Mark & Bygg Jönköping AB,5590270848,aktivt,aktivt,,
InspoDesign i Sverige AB,5591599674,aktivt,aktivt,,
Svenska Arbetsmiljöbyrån Aktiebolag,5565378444,aktivt,aktivt,,
Estate 3262 Konsult AB,5565934667,aktivt,aktivt,,
R. Right AB,5566344494,aktivt,aktivt,,
Vetlanda Golv & Bad AB,5591206619,aktivt,aktivt,,
T.M.E Bygg & Förvaltning AB,5567777353,aktivt,aktivt,,
Bertil Karlsson Mark & Fastighets AB,5591901771,aktivt,aktivt,,
